Generation,BestFitness
1,11.596354267205566
2,2.5803909676155037
3,2.5803909676155037
4,2.5803909676155037
5,2.5803909676155037
6,2.5803909676155037
7,2.160817404502282
8,2.160817404502282
9,2.160817404502282
10,2.092647697000082
11,1.255529243316822
12,1.123293817169987
13,0.14216560088344465
14,0.14216560088344465
15,0.08527794149829049
16,0.05671475403587323
17,0.05671475403587323
18,0.056674870896817
19,0.056674870896817
20,0.02102440450885723
21,0.02102440450885723
22,0.000567255503270303
23,0.000567255503270303
24,0.000567255503270303
25,0.0004626050609957133
26,0.0004626050609957133
27,8.804233594617017e-05
28,5.2360899097436686e-05
29,2.29509988720622e-05
30,1.303429473153983e-05
31,5.757279854634589e-06
32,3.111027268687394e-06
33,2.9081432728617074e-07
34,2.43822533718685e-07
35,2.387249082858034e-07
36,6.023839205226977e-09
37,6.023839205226977e-09
38,6.023839205226977e-09
39,6.023839205226977e-09
40,6.023839205226977e-09
41,2.765933260207021e-09
42,3.342250920468359e-10
43,3.342250920468359e-10
44,3.342250920468359e-10
45,3.342250920468359e-10
46,7.053557737890515e-11
47,2.1856294551980682e-11
48,1.8751222796709044e-11
49,1.3660184094987926e-11
50,3.659295089164516e-12
51,2.1742607714259066e-12
52,5.364597654988756e-13
53,1.2789769243681803e-13
54,1.2789769243681803e-13
55,1.2789769243681803e-13
56,1.2789769243681803e-13
57,7.105427357601002e-15
58,7.105427357601002e-15
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
