Generation,BestFitness
1,1.8598339571044278
2,1.8598339571044278
3,1.129610828198384
4,1.129610828198384
5,1.129610828198384
6,1.129610828198384
7,1.129610828198384
8,1.129610828198384
9,1.129610828198384
10,1.129610828198384
11,1.129610828198384
12,1.0129710506330198
13,0.5676447247613154
14,0.09494050520885366
15,0.09494050520885366
16,0.07408382468603492
17,0.07408382468603492
18,0.07408382468603492
19,0.07408382468603492
20,0.07408382468603492
21,0.07408382468603492
22,0.07408382468603492
23,0.07408382468603492
24,0.07408382468603492
25,0.07408382468603492
26,0.07408382468603492
27,0.07408382468603492
28,0.07408382468603492
29,0.07408382468603492
30,0.07408382468603492
31,0.07408382468603492
32,0.07408382468603492
33,0.012343552724864537
34,0.012343552724864537
35,0.012343552724864537
36,0.0016673218235965237
37,0.0016673218235965237
38,0.0016673218235965237
39,0.0016673218235965237
40,0.0016673218235965237
41,0.0016673218235965237
42,0.0016673218235965237
43,0.0016673218235965237
44,0.0016673218235965237
45,0.00032001840432371864
46,0.00027232391527576283
47,0.00011945221138276452
48,0.00011945221138276452
49,0.00011945221138276452
50,0.00011945221138276452
51,3.9700545642062934e-05
52,3.9700545642062934e-05
53,3.9700545642062934e-05
54,3.9700545642062934e-05
55,3.509862443351608e-05
56,3.509862443351608e-05
57,1.8576553770799364e-06
58,1.8576553770799364e-06
59,1.8576553770799364e-06
60,1.8576553770799364e-06
61,1.8576553770799364e-06
62,1.8576553770799364e-06
63,1.8576553770799364e-06
64,1.8576553770799364e-06
65,1.8576553770799364e-06
66,1.6066487553700881e-06
67,1.6066487553700881e-06
68,7.776492694233639e-07
69,2.6192317648110475e-08
70,2.6192317648110475e-08
71,2.6192317648110475e-08
72,2.6192317648110475e-08
73,2.6192317648110475e-08
74,2.6192317648110475e-08
75,2.6192317648110475e-08
76,2.6192317648110475e-08
77,2.6192317648110475e-08
78,2.6192317648110475e-08
79,2.6192317648110475e-08
80,2.6192317648110475e-08
81,2.6192317648110475e-08
82,2.6192317648110475e-08
83,2.6192317648110475e-08
84,2.6192317648110475e-08
85,4.5170338580646785e-09
86,4.5170338580646785e-09
87,4.5170338580646785e-09
88,4.5170338580646785e-09
89,4.5170338580646785e-09
90,4.5170338580646785e-09
91,5.115552426104841e-10
92,5.115552426104841e-10
93,5.115552426104841e-10
94,5.115552426104841e-10
95,5.115552426104841e-10
96,5.115552426104841e-10
97,2.1186963294894667e-10
98,2.1186963294894667e-10
99,2.1186963294894667e-10
100,2.1186963294894667e-10
